Constituency Name,Winning Candidate,Runner up Candidate,Party ,Alliance, EVM Votes,Postal Votes,Total Votes,Margin
ASKA,ANITA SUBHADARSHINI,RANJITA SAHU, BJP,NDA,1016047,1867,1017914,99974
JAUNPUR,BABU SINGH KUSHWAHA,KRIPASHANKAR SINGH, SP,I.N.D.I.A.,1096957,4831,1101788,99335
BELLARY,E. TUKARAM,B. SREERAMULU, INC,I.N.D.I.A.,1386559,3355,1389914,98992
KARAULI-DHOLPUR,BHAJAN LAL JATAV,INDU DEVI, INC,I.N.D.I.A.,979010,9112,988122,98945
VALMIKINAGAR,SUNIL KUMAR,DEEPAK YADAV, JD(U),NDA,1098897,2933,1101830,98675
DHARWAD,PRALHAD JOSHI,VINOD ASOOTI, BJP,NDA,1362521,3970,1366491,97324
KEONJHAR,ANANTA NAYAK,DHANURJAYA SIDU, BJP,NDA,1252761,3854,1256615,97042
MAVAL,SHRIRANG APPA CHANDU BARNE,SANJOG BHIKU WAGHERE PATIL, SHS,NDA,1417866,1535,1419401,96615
YAVATMAL-WASHIM,SANJAY UTTAMRAO DESHMUKH,RAJSHRITAI HEMANT PATIL (MAHALLE), SHSUBT,I.N.D.I.A.,1220250,5280,1225530,94473
NAGARKURNOOL,DR.MALLU RAVI,BHARATH  PRASAD POTHUGANTI, INC,I.N.D.I.A.,1205275,13948,1219223,94414
EASTDELHI,HARSH MALHOTRA,KULDEEP KUMAR (MONU), BJP,NDA,1261887,2162,1264049,93663
SIWAN,VIJAYLAKSHMI DEVI,HENA SHAHAB, JD(U),NDA,995506,2512,998018,92857
KOLKATAUTTAR,BANDYOPADHYAY SUDIP,TAPAS ROY, AITC,I.N.D.I.A.,955466,2967,958433,92560
SANTKABIRNAGAR,LAXMIKANT PAPPU NISHAD,PRAVIN KUMAR NISHAD, SP,I.N.D.I.A.,1088750,2452,1091202,92170
BHADRAK,AVIMANYU SETHI,MANJULATA MANDAL, BJP,NDA,1291183,6194,1297377,91544
SHIMLA,Suresh Kumar Kashyap,Vinod Sultanpuri, BJP,NDA,958978,10987,969965,91451
CHIKKODI,PRIYANKA SATISH JARKIHOLI,ANNASAHEB SHANKAR JOLLE, INC,I.N.D.I.A.,1385725,7368,1393093,90834
ADILABAD,GODAM NAGESH,ATHRAM SUGUNA, BJP,NDA,1219982,15615,1235597,90652
ANAND,MITESH PATEL (BAKABHAI),AMIT CHAVDA, BJP,NDA,1156426,11543,1167969,89939
SITAPUR,RAKESH RATHOR,RAJESH VERMA, INC,I.N.D.I.A.,1100826,1189,1102015,89641
VAISHALI,VEENA DEVI,VIJAY KUMAR SHUKLA, LJPRV,NDA,1169861,2199,1172060,89634
CHANDNICHOWK,PRAVEEN KHANDELWAL,JAI PRAKASH AGARWAL, BJP,NDA,963895,2207,966102,89325
FIROZABAD,AKSHAYA YADAV,VISHWADEEP SINGH, SP,I.N.D.I.A.,1105210,2086,1107296,89312
PURVICHAMPARAN,RADHA MOHAN SINGH,DR RAJESH KUMAR, BJP,NDA,1069091,4597,1073688,88287
GANGANAGAR,KULDEEP INDORA,PRIYANKA BALAN MEGHWAL, INC,I.N.D.I.A.,1399702,13792,1413494,88153
NABARANGPUR,BALABHADRA MAJHI,PRADEEP KUMAR MAJHI, BJP,NDA,1236661,5814,1242475,87536
RAMPUR,MOHIBBULLAH,GHANSHYAM SINGH LODHI, SP,I.N.D.I.A.,966744,1335,968079,87434
KOTTAYAM,ADV K FRANCIS GEORGE,THOMAS CHAZHIKADAN, KEC,I.N.D.I.A.,822566,13657,836223,87266
JALPAIGURI,DR JAYANTA KUMAR ROY,NIRMAL CHANDRA ROY, BJP,NDA,1571995,6394,1578389,86693
BHARUCH,MANSUKHBHAI DHANJIBHAI VASAVA,CHAITARBHAI DAMJIBHAI VASAVA, BJP,NDA,1192000,6964,1198964,85696
OUTERMANIPUR,ALFRED KANNGAM S ARTHUR,KACHUI TIMOTHY ZIMIK, INC,I.N.D.I.A.,791243,5492,796735,85418
PATLIPUTRA,MISHA BHARTI,RAM KRIPAL YADAV, RJD,I.N.D.I.A.,1227339,2760,1230099,85174
BAHARAMPUR,PATHAN YUSUF,ADHIR RANJAN CHOWDHURY, AITC,I.N.D.I.A.,1380981,3789,1384770,85022
SATNA,GANESH SINGH,DABBU SIDDHARTH SUKHLAL KUSHWAHA, BJP,NDA,1056421,2551,1058972,84949
GURDASPUR,SUKHJINDER SINGH RANDHAWA,DINESH SINGH BABBU, INC,I.N.D.I.A.,1070254,7572,1077826,82861
RAIGAD,TATKARE SUNIL DATTATREY,ANANT GEETE, NCP,NDA,1008505,4767,1013272,82784
KUSHINAGAR,VIJAY KUMAR DUBAY,AJAY PRATAP SINGH URF PINTU SAITHWAR, BJP,NDA,1079710,773,1080483,81790
WARDHA,AMAR SHARADRAO KALE,RAMDAS CHANDRABHAN TADAS, NCPSP,I.N.D.I.A.,1090347,4665,1095012,81648
BEGUSARAI,GIRIRAJ SINGH,ABDHESH KUMAR ROY, BJP,NDA,1288395,6278,1294673,81480
GIRIDIH,CHANDRA PRAKASH CHOUDHARY,MATHURA PRASAD MAHATO, AJSUP,NDA,1253005,11828,1264833,80880
MUNGER,RAJIV RANJAN SINGH ALIAS LALAN SINGH,KUMARI ANITA, JD(U),NDA,1134550,4531,1139081,80870
SIKKIM,INDRA HANG SUBBA,BHARAT BASNETT, SKM,NDA,368869,16024,384893,80830
RAICHUR,G. KUMAR NAIK.,RAJA AMARESHWARA NAIK., INC,I.N.D.I.A.,1295636,3983,1299619,79781
AURANGABAD,ABHAY KUMAR SINHA,SUSHIL KUMAR SINGH, RJD,I.N.D.I.A.,942301,3579,945880,79111
NEWDELHI,BANSURI SWARAJ,SOMNATH BHARTI, BJP,NDA,844889,2579,847468,78370
TAMLUK,ABHIJIT GANGOPADHYAY,DEBANGSHU BHATTACHARYA, BJP,NDA,1568214,9105,1577319,77733
